Division, Department, Course Number, Course Title
College of Letters and Science,CHEMISTRY,923,Seminar-Spectroscopy and Spectrochemical Analysis
College of Letters and Science,CHEMISTRY,940,Seminar-Organic Chemistry 
College of Letters and Science,CHEMISTRY,941,Seminar-Synthetic Organic Chemistry 
College of Letters and Science,CHEMISTRY,942,Seminar-Physical Organic Chemistry 
College of Letters and Science,CHEMISTRY,943,Seminar-Bio-Organic Chemistry
College of Letters and Science,CHEMISTRY,945,Seminar-Chemical Biology 
College of Letters and Science,CHEMISTRY,960,Seminar-Physical Chemistry 
College of Letters and Science,CHEMISTRY,964,Seminar: Molecular Dynamics 
College of Letters and Science,CHEMISTRY,990,Research-Organic
College of Letters and Science,CHEMISTRY,991,Research General
College of Letters and Science,CHEMISTRY,992,Research-Physical
College of Letters and Science,CHEMISTRY,993,Research-Analytical
College of Letters and Science,CHEMISTRY,994,Research-Inorganic
College of Letters and Science,CHEMISTRY,995,Research-Macromolecular Chemistry
College of Letters and Science,CHEMISTRY,996,Research-Materials Chemistry
College of Letters and Science,CHEMISTRY,998,Research-Chemical Biology
College of Letters and Science,CHEMISTRY,231,Politics in Multi-Cultural Societies
College of Letters and Science,CHEMISTRY,347,Race/ Ethnicity/ and Media
College of Letters and Science,CHEMISTRY,510,Integrative Seminar in Chicana/o Studies
College of Letters and Science,CHEMISTRY,530,Advanced Topics in Chicana/o and Latina/o Studies 
College of Letters and Science,CHEMISTRY,699,Directed Study Requires consent of chair & instructor 
College of Letters and Science,CHEMISTRY,304,The Art and Archaeology of Ancient Rome 
College of Letters and Science,CHEMISTRY,322,The Civilization of Ancient Rome 
College of Letters and Science,CHEMISTRY,351,Gender and Sexuality in the Classical World 
College of Letters and Science,CHEMISTRY,370,Classical Mythology 
College of Letters and Science,CHEMISTRY,568,Topics in Classical Literature 
College of Letters and Science,CHEMISTRY,591,Undergraduate Seminar: Approaches to the Classical World 
College of Letters and Science,CHEMISTRY,682,Senior Honors Thesis
College of Letters and Science,CHEMISTRY,692,Senior Thesis 
College of Letters and Science,CHEMISTRY,699,Directed Reading
College of Letters and Science,CHEMISTRY,704,The Art and Archaeology of Ancient Rome 
College of Letters and Science,CHEMISTRY,801,Seminar-Ancient History 
College of Letters and Science,CHEMISTRY,830,Advanced History of Philosophy 
College of Letters and Science,CHEMISTRY,970,Classical Literature and Culture 
College of Letters and Science,COMMUNICATION ARTS,100,Introduction to Speech Composition 
College of Letters and Science,COMMUNICATION ARTS,105,Public Speaking 
College of Letters and Science,COMMUNICATION ARTS,155,Introduction to Digital Media Production
College of Letters and Science,COMMUNICATION ARTS,198,Directed Study
College of Letters and Science,COMMUNICATION ARTS,199,Directed Study
College of Letters and Science,COMMUNICATION ARTS,250,Survey of Contemporary Media
College of Letters and Science,COMMUNICATION ARTS,260,Communication and Human Behavior
College of Letters and Science,COMMUNICATION ARTS,262,Theory and Practice of Argumentation and Debate
College of Letters and Science,COMMUNICATION ARTS,266,Theory and Practice of Group Discussion 
College of Letters and Science,COMMUNICATION ARTS,272,Introduction to Interpersonal Communication
College of Letters and Science,COMMUNICATION ARTS,325,Mass Media and Human Behavior
College of Letters and Science,COMMUNICATION ARTS,346,Critical Internet Studies
College of Letters and Science,COMMUNICATION ARTS,347,Race/ Ethnicity/ and Media
College of Letters and Science,COMMUNICATION ARTS,350,Introduction to Film
College of Letters and Science,COMMUNICATION ARTS,351,Introduction to Television
College of Letters and Science,COMMUNICATION ARTS,354,Film Styles and Genres
College of Letters and Science,COMMUNICATION ARTS,355,Introduction to Media Production
College of Letters and Science,COMMUNICATION ARTS,360,Introduction to Rhetoric in Politics and Culture
College of Letters and Science,COMMUNICATION ARTS,361,Introduction to 
College of Letters and Science,COMMUNICATION ARTS,368,Theory and Practice of Persuasion
College of Letters and Science,COMMUNICATION ARTS,374,The Rhetoric of Religion 
College of Letters and Science,COMMUNICATION ARTS,451,Television Criticism
College of Letters and Science,COMMUNICATION ARTS,454,Critical Film Analysis
College of Letters and Science,COMMUNICATION ARTS,459,New Media and Society 
College of Letters and Science,COMMUNICATION ARTS,463,Avant-Garde Film 
College of Letters and Science,COMMUNICATION ARTS,465,Editing and Post-production for Video and Film 
College of Letters and Science,COMMUNICATION ARTS,466,Writing for Television and Film 
College of Letters and Science,COMMUNICATION ARTS,467,Cinematography and Sound Recording 
College of Letters and Science,COMMUNICATION ARTS,470,Contemporary Political Discourse
College of Letters and Science,COMMUNICATION ARTS,472,Rhetoric and Technology 
College of Letters and Science,COMMUNICATION ARTS,476,Nature of Criticism-The Public Arts of Communication 
College of Letters and Science,COMMUNICATION ARTS,509,Digital Media and Political Communication 
College of Letters and Science,COMMUNICATION ARTS,522,Digitally Documenting Everyday Communication 
College of Letters and Science,COMMUNICATION ARTS,547,Digital Game Cultures 
College of Letters and Science,COMMUNICATION ARTS,557,Contemporary Media Industries 
College of Letters and Science,COMMUNICATION ARTS,565,Communication and Interethnic Behavior 
College of Letters and Science,COMMUNICATION ARTS,571,Contemporary Rhetorical Theory Two of the following: 
College of Letters and Science,COMMUNICATION ARTS,577,Dynamics of Online Relationships 
College of Letters and Science,COMMUNICATION ARTS,608,Special Topics in Media and Cultural Studies 
College of Letters and Science,COMMUNICATION ARTS,613,Special Topics in Film 
College of Letters and Science,COMMUNICATION ARTS,614,Field Experience in Communication 
College of Letters and Science,COMMUNICATION ARTS,615,Second Field Experience in Communication
College of Letters and Science,COMMUNICATION ARTS,616,Mass Media and Youth 
College of Letters and Science,COMMUNICATION ARTS,617,Health Communication in the Information Age 
College of Letters and Science,COMMUNICATION ARTS,659,Advanced Motion Picture Production Workshop 
College of Letters and Science,COMMUNICATION ARTS,665,Contemporary Film Theory 
College of Letters and Science,COMMUNICATION ARTS,681,Senior Honors Thesis 
College of Letters and Science,COMMUNICATION ARTS,682,Senior Honors Thesis 
College of Letters and Science,COMMUNICATION ARTS,691,Senior Thesis 
College of Letters and Science,COMMUNICATION ARTS,692,Senior Thesis 
College of Letters and Science,COMMUNICATION ARTS,698,Directed Study 
College of Letters and Science,COMMUNICATION ARTS,699,Directed Study 
College of Letters and Science,COMMUNICATION ARTS,760,Advances in Communication Theories 
College of Letters and Science,COMMUNICATION ARTS,799,Independent Study 
College of Letters and Science,COMMUNICATION ARTS,902,Film Colloquium 
College of Letters and Science,COMMUNICATION ARTS,903,Media and Cultural Studies Colloquium 
College of Letters and Science,COMMUNICATION ARTS,904,Communication Science Colloquium 
College of Letters and Science,COMMUNICATION ARTS,905,Rhetoric Colloquium 
College of Letters and Science,COMMUNICATION ARTS,950,Seminar-Radio Television Film 
College of Letters and Science,COMMUNICATION ARTS,966,Seminar-Modern Rhetorical Theory 
College of Letters and Science,COMMUNICATION ARTS,967,Seminar-Problems in Communication and Public Address 
College of Letters and Science,COMMUNICATION ARTS,990,Research and Thesis 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,110,Introduction to Communicative Disorders 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,201,Speech Science 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,202,Normal Aspects of Hearing 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,210,Neural Basis of Communication 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,240,Language Development in Children and Adolescents 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,318,Voice/ Craniofacial and Fluency Disorders 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,320,Introduction to Audiology 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,371,Pre-Clinical Observation of Children and Adults 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,425,Auditory Rehabilitation 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,455,Topics in Communicative Disorders
College of Letters and Science,COMMUNICATION SCI & DISORDERS,681,Senior Honors Thesis
College of Letters and Science,COMMUNICATION SCI & DISORDERS,682,Senior Honors Thesis
College of Letters and Science,COMMUNICATION SCI & DISORDERS,699,Directed Study
College of Letters and Science,COMMUNICATION SCI & DISORDERS,704,Acquired Language and Cognitive-Communication Disorders in Adults 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,705,Motor Speech Disorders/Augmentative and Alternative Communication 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,706,Management and Assessment of Voice Disorders 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,709,Language Problems of School Age Children and Adolescents 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,713,Introduction to Medical Speech Pathology 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,714,School Methods and Procedures in Speech-Language Pathology 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,752,Capstone Course: Communicative Disorders in Adults
College of Letters and Science,COMMUNICATION SCI & DISORDERS,790,Practicum in Communicative Disorders 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,799,Independent Study
College of Letters and Science,COMMUNICATION SCI & DISORDERS,832,Pediatric Audiology
College of Letters and Science,COMMUNICATION SCI & DISORDERS,836,Pediatric Habilitation/Rehabilitation
College of Letters and Science,COMMUNICATION SCI & DISORDERS,849,Geriatric Audiology: Diagnosis and Rehabilitation 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,856,Amplification Systems I 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,857,Laboratory in Amplification Systems I 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,858,Physiological Assessment in Audiology I 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,859,Laboratory in Physiological Assessment of the Auditory System I 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,862,Auditory and Vestibular Pathologies II 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,865,Practice Management 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,866,Amplification Systems II 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,867,School Methods for Audiologists 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,891,Clerkship in Audiology I 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,892,Clerkship in Audiology II 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,893,Clerkship in Audiology III 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,894,Externship in Audiology 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,899,Capstone Study in Audiology 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,900,Seminar-Speech Science 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,921,Seminar-Problems in Audiology 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,990,Research and Thesis 
College of Letters and Science,COMMUNICATION SCI & DISORDERS,999,Independent Studies 
College of Letters and Science,COMPARATIVE LITERATURE,202,Introduction to Modern and Contemporary Literature
College of Letters and Science,COMPARATIVE LITERATURE,203,Introduction to Cross-Cultural Literary Forms
College of Letters and Science,COMPARATIVE LITERATURE,358,Problems in Transnational Genre and Mode
College of Letters and Science,COMPARATIVE LITERATURE,466,Literature / Media/ the Arts
College of Letters and Science,COMPARATIVE LITERATURE,682,Senior Honors Thesis
College of Letters and Science,COMPARATIVE LITERATURE,691,Senior Thesis
College of Letters and Science,COMPARATIVE LITERATURE,692,Senior Thesis
College of Letters and Science,COMPARATIVE LITERATURE,699,Directed Study
College of Letters and Science,COMPARATIVE LITERATURE,771,Literary Criticism 
College of Letters and Science,COMPARATIVE LITERATURE,976,Seminar in Poetics 
College of Letters and Science,COMPARATIVE LITERATURE,990,Research and Thesis 
College of Letters and Science,COMPARATIVE LITERATURE,999,Independent Work 
College of Letters and Science,COMPARATIVE LITERATURE,252,Introduction to Computer Engineering 
College of Letters and Science,COMPARATIVE LITERATURE,298,Directed Study in Computer Science 
College of Letters and Science,COMPARATIVE LITERATURE,304,WES-CS Group Meeting Concurrent registration in 
College of Letters and Science,COMPARATIVE LITERATURE,352,Digital System Fundamentals 
College of Letters and Science,COMPARATIVE LITERATURE,354,Machine Organization and Programming 
College of Letters and Science,COMPARATIVE LITERATURE,367,Introduction to Data Structures 
College of Letters and Science,COMPARATIVE LITERATURE,368,Learning a Programming Language
College of Letters and Science,COMPARATIVE LITERATURE,371,Technology of Computer-Based Business Systems 
College of Letters and Science,COMPARATIVE LITERATURE,402,Introducing Computer Science to K-12 Students 
College of Letters and Science,COMPARATIVE LITERATURE,407,Foundations of Mobile Systems and Applications 
College of Letters and Science,COMPARATIVE LITERATURE,412,Introduction to Numerical Methods 
College of Letters and Science,COMPARATIVE LITERATURE,435,Introduction to Cryptography 
College of Letters and Science,COMPARATIVE LITERATURE,471,Introduction to Computational Statistics 
College of Letters and Science,COMPARATIVE LITERATURE,475,Introduction to Combinatorics 
College of Letters and Science,COMPARATIVE LITERATURE,513,Numerical Linear Algebra
College of Letters and Science,COMPARATIVE LITERATURE,520,Introduction to Theory of Computing
College of Letters and Science,COMPARATIVE LITERATURE,525,Linear Programming Methods 
College of Letters and Science,COMPARATIVE LITERATURE,536,Introduction to Programming Languages and Compilers
College of Letters and Science,COMPARATIVE LITERATURE,537,Introduction to Operating Systems
College of Letters and Science,COMPARATIVE LITERATURE,540,Introduction to Artificial Intelligence
College of Letters and Science,COMPARATIVE LITERATURE,552,Introduction to Computer Architecture ECE/
College of Letters and Science,COMPARATIVE LITERATURE,564,Database Management Systems: Design and Implementation 
College of Letters and Science,COMPARATIVE LITERATURE,570,Introduction to Human-Computer Interaction
College of Letters and Science,COMPARATIVE LITERATURE,577,Introduction to Algorithms
College of Letters and Science,COMPARATIVE LITERATURE,635,Tools and Environments for Optimization
College of Letters and Science,COMPARATIVE LITERATURE,638,Undergraduate Topics in Computing 
College of Letters and Science,COMPARATIVE LITERATURE,640,Introduction to Computer Networks 
College of Letters and Science,COMPARATIVE LITERATURE,642,Introduction to Information Security 
College of Letters and Science,COMPARATIVE LITERATURE,681,Senior Honors Thesis 
College of Letters and Science,COMPARATIVE LITERATURE,682,Senior Honors Thesis 
College of Letters and Science,COMPARATIVE LITERATURE,691,Senior Thesis
College of Letters and Science,COMPARATIVE LITERATURE,692,Senior Thesis
College of Letters and Science,COMPARATIVE LITERATURE,699,Directed Study
College of Letters and Science,COMPARATIVE LITERATURE,704,Principles of Programming Languages 
College of Letters and Science,COMPARATIVE LITERATURE,715,Methods of Computational Mathematics II 
College of Letters and Science,COMPARATIVE LITERATURE,719,Stochastic Programming 
College of Letters and Science,COMPARATIVE LITERATURE,720,Integer Programming 
College of Letters and Science,COMPARATIVE LITERATURE,736,Advanced Operating Systems 
College of Letters and Science,COMPARATIVE LITERATURE,740,Advanced Computer Networks 
College of Letters and Science,COMPARATIVE LITERATURE,752,Advanced Computer Architecture I ECE/ 
College of Letters and Science,COMPARATIVE LITERATURE,757,Advanced Computer Architecture II 
College of Letters and Science,COMPARATIVE LITERATURE,760,Machine Learning 
College of Letters and Science,COMPARATIVE LITERATURE,761,Advanced Machine Learning 
College of Letters and Science,COMPARATIVE LITERATURE,764,Topics in Database Management Systems 
College of Letters and Science,COMPARATIVE LITERATURE,766,Computer Vision 
College of Letters and Science,COMPARATIVE LITERATURE,767,Computational Methods for Medical Image Analysis 
College of Letters and Science,COMPARATIVE LITERATURE,769,Advanced Natural Language Processing 
College of Letters and Science,COMPARATIVE LITERATURE,776,Advanced Bioinformatics 
College of Letters and Science,COMPARATIVE LITERATURE,787,Advanced Algorithms 
College of Letters and Science,COMPARATIVE LITERATURE,812,Arithmetic Algorithms 
College of Letters and Science,COMPARATIVE LITERATURE,838,Topics in Computing 
College of Letters and Science,COMPARATIVE LITERATURE,899,Pre-Dissertator Research 
College of Letters and Science,COMPARATIVE LITERATURE,900,Advanced Seminar in Computer Science 
College of Letters and Science,COMPARATIVE LITERATURE,915,Computation and Informatics in Biology and Medicine 
College of Letters and Science,COMPARATIVE LITERATURE,990,Dissertation Dissertator status 
College of Letters and Science,COMPARATIVE LITERATURE,999,Independent Study and Research 
College of Letters and Science,COMPARATIVE LITERATURE,102,Second Semester Chinese 
College of Letters and Science,COMPARATIVE LITERATURE,104,Second Semester Japanese 
College of Letters and Science,COMPARATIVE LITERATURE,106,Elementary Korean 
College of Letters and Science,COMPARATIVE LITERATURE,114,Second Semester Heritage Chinese
College of Letters and Science,COMPARATIVE LITERATURE,121,Elementary Chinese
College of Letters and Science,COMPARATIVE LITERATURE,123,Elementary Japanese
College of Letters and Science,COMPARATIVE LITERATURE,202,Fourth Semester Chinese
College of Letters and Science,COMPARATIVE LITERATURE,204,Fourth Semester Japanese
College of Letters and Science,COMPARATIVE LITERATURE,235,Genres of Asian Religious Writing
College of Letters and Science,COMPARATIVE LITERATURE,253,Introduction to Japanese Culture and Civilization 
College of Letters and Science,COMPARATIVE LITERATURE,299,Directed Study
College of Letters and Science,COMPARATIVE LITERATURE,300,Humanities Topics in East Asian Studies 
College of Letters and Science,COMPARATIVE LITERATURE,302,Sixth Semester Chinese 
College of Letters and Science,COMPARATIVE LITERATURE,304,Sixth Semester Japanese
College of Letters and Science,COMPARATIVE LITERATURE,312,Second Semester Chinese
College of Letters and Science,COMPARATIVE LITERATURE,318,Fourth Semester Chinese
College of Letters and Science,COMPARATIVE LITERATURE,320,Second Semester Japanese 
College of Letters and Science,COMPARATIVE LITERATURE,322,First Year Classical Chinese 
College of Letters and Science,COMPARATIVE LITERATURE,323,First Year Classical Japanese 
College of Letters and Science,COMPARATIVE LITERATURE,328,Fourth Semester Japanese
College of Letters and Science,COMPARATIVE LITERATURE,332,Basic Technical Japanese II 
College of Letters and Science,COMPARATIVE LITERATURE,346,Fourth Semester Korean 
College of Letters and Science,COMPARATIVE LITERATURE,348,Sixth Semester Korean 
College of Letters and Science,COMPARATIVE LITERATURE,352,Survey of Chinese Literature One
College of Letters and Science,COMPARATIVE LITERATURE,354,Survey of Japanese Literature One
College of Letters and Science,COMPARATIVE LITERATURE,361,Masterworks of Japanese Literature: The Tale of Genji
College of Letters and Science,COMPARATIVE LITERATURE,363,Introduction to Confucianism 
College of Letters and Science,COMPARATIVE LITERATURE,364,Introduction to Buddhism
College of Letters and Science,COMPARATIVE LITERATURE,375,Intermediate Technical Japanese II
College of Letters and Science,COMPARATIVE LITERATURE,376,Manga. 
College of Letters and Science,COMPARATIVE LITERATURE,377,Business Japanese Communication
College of Letters and Science,COMPARATIVE LITERATURE,379,Business Chinese 2 yrs Chinese or equiv 
College of Letters and Science,COMPARATIVE LITERATURE,402,Eighth Semester Chinese
College of Letters and Science,COMPARATIVE LITERATURE,404,Eighth Semester Japanese
College of Letters and Science,COMPARATIVE LITERATURE,406,Eighth Semester Korean 
College of Letters and Science,COMPARATIVE LITERATURE,432,Introduction to Chinese Linguistics
College of Letters and Science,COMPARATIVE LITERATURE,450,Japanese for Politics and Government 
College of Letters and Science,COMPARATIVE LITERATURE,520,Popular Culture and Film in Twentieth-Century China
College of Letters and Science,COMPARATIVE LITERATURE,632,History of the Chinese Language 
College of Letters and Science,COMPARATIVE LITERATURE,652,History of Chinese Literature 
College of Letters and Science,COMPARATIVE LITERATURE,661,History of Chinese Thought/ Part 1 
College of Letters and Science,COMPARATIVE LITERATURE,682,Senior Honors Thesis 
College of Letters and Science,COMPARATIVE LITERATURE,698,Directed Study 
College of Letters and Science,COMPARATIVE LITERATURE,699,Directed Study 
College of Letters and Science,COMPARATIVE LITERATURE,763,Studies in Japanese Literature 
College of Letters and Science,COMPARATIVE LITERATURE,775,Studies in Japanese Linguistics 
College of Letters and Science,COMPARATIVE LITERATURE,799,Reading for Research 
College of Letters and Science,COMPARATIVE LITERATURE,951,Seminar in Chinese Literature 
College of Letters and Science,COMPARATIVE LITERATURE,990,Thesis Research 
College of Letters and Science,COMPARATIVE LITERATURE,999,Independent Research 
College of Letters and Science,EAST ASIAN AREA STUDIES,255,Introduction to East Asian Civilizations 
College of Letters and Science,EAST ASIAN AREA STUDIES,300,Humanities Topics in East Asian Studies 
College of Letters and Science,EAST ASIAN AREA STUDIES,301,Social Studies Topics in East Asian Studies 
College of Letters and Science,EAST ASIAN AREA STUDIES,682,Senior Honors Thesis 
College of Letters and Science,EAST ASIAN AREA STUDIES,691,Senior Thesis 
College of Letters and Science,EAST ASIAN AREA STUDIES,692,Senior Thesis 
College of Letters and Science,ECONOMICS,101,Principles of Microeconomics
College of Letters and Science,ECONOMICS,102,Principles of Macroeconomics 
College of Letters and Science,ECONOMICS,111,Principles of Economics-Accelerated Treatment 
College of Letters and Science,ECONOMICS,228,Internship Economics 
College of Letters and Science,ECONOMICS,299,Directed Study 
College of Letters and Science,ECONOMICS,300,Introduction to Finance 
College of Letters and Science,ECONOMICS,301,Intermediate Microeconomic Theory 
College of Letters and Science,ECONOMICS,302,Intermediate Macroeconomic Theory
College of Letters and Science,ECONOMICS,306,The Real Estate Process
College of Letters and Science,ECONOMICS,310,Statistics: Measurement in Economics
College of Letters and Science,ECONOMICS,312,Intermediate Macroeconomic Theory - Advanced Treatment
College of Letters and Science,ECONOMICS,320,Investment Theory
College of Letters and Science,ECONOMICS,330,Money and Banking
College of Letters and Science,ECONOMICS,343,Environmental Economics
College of Letters and Science,ECONOMICS,390,Contemporary Economic Issues 
College of Letters and Science,ECONOMICS,410,Introductory Econometrics
College of Letters and Science,ECONOMICS,411,Advanced Microeconomic Theory
College of Letters and Science,ECONOMICS,420,Urban and Regional Economics 
College of Letters and Science,ECONOMICS,421,Economic Decision Analysis 
College of Letters and Science,ECONOMICS,435,The Financial System
College of Letters and Science,ECONOMICS,448,Human Resources and Economic Growth 
College of Letters and Science,ECONOMICS,450,Wages and the Labor Market 
College of Letters and Science,ECONOMICS,451,The Economic Approach to Human Behavior
College of Letters and Science,ECONOMICS,458,Industrial Structure and Competitive Strategy
College of Letters and Science,ECONOMICS,462,Latin American Economic Development 
College of Letters and Science,ECONOMICS,464,International Trade and Finance 
College of Letters and Science,ECONOMICS,474,Economic Problems of Developing Areas 
College of Letters and Science,ECONOMICS,475,Economics of Growth 
College of Letters and Science,ECONOMICS,503,Markets with Frictions 
College of Letters and Science,ECONOMICS,521,Game Theory and Economic Analysis 
College of Letters and Science,ECONOMICS,522,Law and Economics
College of Letters and Science,ECONOMICS,525,Economics of Education: Theory and Measurement
College of Letters and Science,ECONOMICS,531,Natural Resource Economics 
College of Letters and Science,ECONOMICS,548,The Economics of Health Care 
College of Letters and Science,ECONOMICS,580,Honors Tutorial in Research Project Design
College of Letters and Science,ECONOMICS,581,Honors Thesis
College of Letters and Science,ECONOMICS,663,Population and Society 
College of Letters and Science,ECONOMICS,666,Issues in International Finance 
College of Letters and Science,ECONOMICS,671,Energy Economics 
College of Letters and Science,ECONOMICS,682,Senior Honors Thesis
College of Letters and Science,ECONOMICS,692,Senior Thesis
College of Letters and Science,ECONOMICS,698,Directed Study
College of Letters and Science,ECONOMICS,699,Directed Study
College of Letters and Science,ECONOMICS,710,Economic Statistics and Econometrics II 
College of Letters and Science,ECONOMICS,713,Economic Theory: Microeconomics Sequence
College of Letters and Science,ECONOMICS,714,Economic Theory; Macroeconomics Sequence 
College of Letters and Science,ECONOMICS,716,Econometric Methods 
College of Letters and Science,ECONOMICS,718,Topics in Applied Econometrics 
College of Letters and Science,ECONOMICS,735,Monetary and Financial Theory 
College of Letters and Science,ECONOMICS,751,Survey of Institutional Aspects of Labor Economics
College of Letters and Science,ECONOMICS,761,Industrial Organization Theory 
College of Letters and Science,ECONOMICS,775,Introduction to Bayesian Decision and Control I 
College of Letters and Science,ECONOMICS,806,Advanced Microeconomic Theory II
College of Letters and Science,ECONOMICS,872,Advanced International Economics
College of Letters and Science,ECONOMICS,899,Recent Advances in Economics 
College of Letters and Science,ECONOMICS,902,Workshop in Economic Theory 
College of Letters and Science,ECONOMICS,904,Workshop on Industrial Organization 
College of Letters and Science,ECONOMICS,914,Workshop in Econometrics
College of Letters and Science,ECONOMICS,925,Seminar: Socio-Economic Change in Underdeveloped Areas 
College of Letters and Science,ECONOMICS,956,Workshop in Labor Economics 
College of Letters and Science,ECONOMICS,966,Workshop on 
College of Letters and Science,ECONOMICS,969,Workshop on Public Economics 
College of Letters and Science,ECONOMICS,978,Workshop in International Economics 
College of Letters and Science,ECONOMICS,990,Thesis
College of Letters and Science,ECONOMICS,999,Independent Work
College of Letters and Science,ENGLISH,100,Introduction to College Composition 
College of Letters and Science,ENGLISH,110,Intensive English as a Second Language 
College of Letters and Science,ENGLISH,115,English as a Second Language: Grammar for Academic Use 
College of Letters and Science,ENGLISH,116,English as a Second Language: Academic Reading and Vocabulary Skills 
College of Letters and Science,ENGLISH,117,English as a Second Language: Academic Writing I 
College of Letters and Science,ENGLISH,118,English as a Second Language: Academic Writing II 
College of Letters and Science,ENGLISH,122,English as a Second Language: Oral Communication Skills 
College of Letters and Science,ENGLISH,177,Literature and Popular Culture
College of Letters and Science,ENGLISH,201,Intermediate Composition
College of Letters and Science,ENGLISH,203,Creative Writing: Beginning Fiction and Poetry Workshop
College of Letters and Science,ENGLISH,217,American Literature
College of Letters and Science,ENGLISH,220,Shakespearean Drama
College of Letters and Science,ENGLISH,236,Bascom Course
College of Letters and Science,ENGLISH,270,A Survey of Asian American Literature
College of Letters and Science,ENGLISH,300,Creative Writing: Fiction and Poetry Workshop
College of Letters and Science,ENGLISH,301,Creative Writing: Intermediate Fiction Workshop
College of Letters and Science,ENGLISH,302,Creative Writing: Intermediate Poetry Workshop
College of Letters and Science,ENGLISH,307,Creative Writing: Special Topics Workshop
College of Letters and Science,ENGLISH,315,Advanced Composition 
College of Letters and Science,ENGLISH,317,Writing in Workplaces 
College of Letters and Science,ENGLISH,320,Old English
College of Letters and Science,ENGLISH,324,Structure of English
College of Letters and Science,ENGLISH,326,ESL: Academic Presentations and Discussion 
College of Letters and Science,ENGLISH,327,ESL: Professional and Academic Writing Skills 
College of Letters and Science,ENGLISH,328,ESL: Academic Skills Workshops 
College of Letters and Science,ENGLISH,330,English Phonology
College of Letters and Science,ENGLISH,334,Introduction to TESOL Methods 
College of Letters and Science,ENGLISH,335,Techniques and Materials for TESOL
College of Letters and Science,ENGLISH,336,English in Society
College of Letters and Science,ENGLISH,338,Topics in English Language and Linguistics
College of Letters and Science,ENGLISH,362,A Study of a Theme in Medieval English Literature
College of Letters and Science,ENGLISH,401,A Study of an Outstanding Figure or Figures of the 16th C Literature
College of Letters and Science,ENGLISH,402,A Study of a Theme in 16th Century English Literature
College of Letters and Science,ENGLISH,418,Shakespeare
College of Letters and Science,ENGLISH,442,A Study of a Theme in 18th Century English Literature
College of Letters and Science,ENGLISH,459,The English Novel: Eighteenth Century
College of Letters and Science,ENGLISH,465,Studies in Romantic Literature
College of Letters and Science,ENGLISH,467,A Study of Outstanding Figure or Figures in 19th Century English Lit
College of Letters and Science,ENGLISH,500,A Study of an Outstanding Figure or Figures of Contemporary Eng Lit
College of Letters and Science,ENGLISH,513,Modern British or American Literature and Its Backgrounds
College of Letters and Science,ENGLISH,516,Topics in Twentieth Century Literature in English
College of Letters and Science,ENGLISH,550,Studies in Criticism
College of Letters and Science,ENGLISH,591,Topics in Ethnic and Multicultural Literature
College of Letters and Science,ENGLISH,619,Three American Novelists
College of Letters and Science,ENGLISH,625,A Study of an Outstanding Figure or Figures of 19th Century 
College of Letters and Science,ENGLISH,626,A Study of a Theme in 19th Century American Literature
College of Letters and Science,ENGLISH,630,A Study of a Theme in 20th Century American Lit
College of Letters and Science,ENGLISH,631,A Study of an Outstanding Figure or Figures of Contemporary 
College of Letters and Science,ENGLISH,654,Race and Sexuality in American Literature 
College of Letters and Science,ENGLISH,672,Selected Topics in Afro-American Literature 
College of Letters and Science,ENGLISH,681,Senior Honors Thesis in the Major 
College of Letters and Science,ENGLISH,682,Senior Honors Thesis in the Major 
College of Letters and Science,ENGLISH,691,Senior Thesis 
College of Letters and Science,ENGLISH,692,Senior Thesis 
College of Letters and Science,ENGLISH,695,Directed Creative Writing 
College of Letters and Science,ENGLISH,699,Directed Study 
